iter	Passed	Remaining
0	69	69877
1	96	48216
2	117	39051
3	138	34508
4	158	31620
5	179	29670
6	198	28209
7	219	27191
8	239	26333
9	260	25773
10	281	25274
11	301	24864
12	316	24066
13	338	23814
14	355	23347
15	376	23147
16	396	22909
17	416	22697
18	436	22529
19	457	22401
20	478	22302
21	498	22143
22	518	22016
23	538	21895
24	559	21809
25	580	21741
26	600	21640
27	620	21542
28	642	21502
29	662	21430
30	682	21348
31	704	21325
32	726	21278
33	746	21221
34	767	21158
35	787	21085
36	807	21018
37	828	20973
38	848	20917
39	869	20856
40	889	20806
41	910	20760
42	930	20707
43	950	20650
44	971	20612
45	992	20587
46	1014	20571
47	1035	20529
48	1055	20485
49	1076	20457
50	1096	20412
51	1117	20372
52	1138	20341
53	1159	20304
54	1180	20275
55	1201	20246
56	1222	20228
57	1245	20227
58	1269	20240
59	1291	20226
60	1314	20230
61	1337	20232
62	1360	20229
63	1382	20225
64	1406	20229
65	1428	20215
66	1453	20239
67	1475	20228
68	1497	20205
69	1520	20204
70	1543	20201
71	1566	20191
72	1590	20191
73	1613	20189
74	1640	20231
75	1663	20226
76	1687	20230
77	1709	20206
78	1733	20209
79	1756	20200
80	1779	20194
81	1802	20184
82	1826	20179
83	1850	20182
84	1872	20158
85	1895	20144
86	1919	20143
87	1944	20150
88	1967	20135
89	1990	20124
90	2014	20121
91	2036	20103
92	2059	20087
93	2081	20065
94	2104	20045
95	2127	20036
96	2149	20012
97	2172	19994
98	2198	20008
99	2220	19981
100	2242	19961
101	2265	19941
102	2287	19922
103	2312	19920
104	2335	19906
105	2358	19888
106	2381	19877
107	2405	19865
108	2427	19843
109	2450	19828
110	2474	19814
111	2497	19801
112	2519	19776
113	2542	19762
114	2565	19741
115	2586	19714
116	2610	19701
117	2634	19693
118	2658	19679
119	2680	19659
120	2703	19637
121	2734	19682
122	2760	19682
123	2784	19674
124	2807	19649
125	2830	19632
126	2852	19605
127	2875	19592
128	2899	19578
129	2924	19571
130	2949	19568
131	2972	19546
132	2994	19523
133	3017	19500
134	3039	19476
135	3061	19451
136	3084	19428
137	3109	19422
138	3131	19397
139	3154	19375
140	3176	19349
141	3197	19322
142	3220	19299
143	3242	19276
144	3266	19262
145	3290	19246
146	3311	19218
147	3335	19200
148	3361	19196
149	3383	19174
150	3404	19144
151	3426	19118
152	3448	19092
153	3471	19070
154	3494	19049
155	3517	19028
156	3540	19010
157	3566	19007
158	3590	18993
159	3615	18981
160	3638	18959
161	3660	18934
162	3681	18905
163	3703	18880
164	3726	18856
165	3747	18829
166	3770	18807
167	3794	18790
168	3818	18775
169	3840	18751
170	3866	18743
171	3890	18730
172	3912	18701
173	3933	18673
174	3955	18646
175	3976	18618
176	3999	18597
177	4021	18573
178	4044	18548
179	4072	18550
180	4096	18534
181	4122	18530
182	4144	18502
183	4167	18482
184	4191	18463
185	4215	18450
186	4238	18426
187	4261	18405
188	4284	18382
189	4305	18356
190	4328	18334
191	4350	18308
192	4372	18284
193	4397	18271
194	4420	18246
195	4443	18228
196	4467	18208
197	4489	18186
198	4513	18165
199	4533	18135
200	4556	18110
201	4579	18091
202	4601	18066
203	4626	18051
204	4647	18023
205	4669	17998
206	4690	17970
207	4712	17941
208	4732	17909
209	4753	17881
210	4774	17852
211	4795	17823
212	4815	17790
213	4835	17761
214	4857	17735
215	4879	17711
216	4902	17689
217	4924	17665
218	4947	17642
219	4968	17616
220	4991	17593
221	5014	17571
222	5036	17547
223	5058	17525
224	5082	17507
225	5105	17485
226	5128	17464
227	5152	17446
228	5176	17427
229	5200	17409
230	5222	17387
231	5246	17368
232	5270	17348
233	5292	17325
234	5316	17306
235	5339	17285
236	5363	17267
237	5386	17246
238	5409	17223
239	5432	17203
240	5456	17184
241	5478	17161
242	5502	17140
243	5525	17120
244	5548	17098
245	5571	17076
246	5594	17055
247	5617	17034
248	5640	17011
249	5663	16989
250	5686	16968
251	5710	16949
252	5732	16924
253	5755	16903
254	5778	16883
255	5802	16862
256	5824	16838
257	5846	16814
258	5867	16786
259	5888	16759
260	5910	16735
261	5930	16704
262	5950	16674
263	5970	16643
264	5990	16614
265	6010	16584
266	6030	16555
267	6050	16527
268	6071	16500
269	6091	16469
270	6113	16445
271	6133	16416
272	6154	16388
273	6174	16359
274	6194	16332
275	6215	16305
276	6236	16278
277	6257	16252
278	6278	16223
279	6297	16194
280	6318	16166
281	6339	16141
282	6361	16117
283	6381	16089
284	6402	16062
285	6424	16038
286	6445	16012
287	6465	15985
288	6486	15957
289	6507	15931
290	6527	15903
291	6547	15875
292	6567	15848
293	6588	15821
294	6608	15793
295	6629	15767
296	6650	15741
297	6671	15716
298	6693	15691
299	6715	15670
300	6736	15642
301	6755	15614
302	6778	15592
303	6798	15565
304	6819	15540
305	6842	15517
306	6862	15491
307	6882	15463
308	6902	15436
309	6924	15413
310	6945	15387
311	6966	15362
312	6986	15334
313	7007	15308
314	7027	15282
