result_dict = {dict: 544} {'0': {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.001, 'method': 'reranked_own_rec', 'precision': 0.19446475195822452}, '1': {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.002, 'method': 'reranked_own_rec', 'precision': 0.1947780678851175}, '2': {'m
 '0' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.001, 'method': 'reranked_own_rec', 'precision': 0.19446475195822452}
 '1' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.002, 'method': 'reranked_own_rec', 'precision': 0.1947780678851175}
 '2' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.003, 'method': 'reranked_own_rec', 'precision': 0.19425587467362923}
 '3' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.004, 'method': 'reranked_own_rec', 'precision': 0.19446475195822452}
 '4' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.005, 'method': 'reranked_own_rec', 'precision': 0.1949869451697128}
 '5' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.006, 'method': 'reranked_own_rec', 'precision': 0.19425587467362923}
 '6' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.007, 'method': 'reranked_own_rec', 'precision': 0.19550913838120107}
 '7' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.008, 'method': 'reranked_own_rec', 'precision': 0.19446475195822457}
 '8' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.009000000000000001, 'method': 'reranked_own_rec', 'precision': 0.19404699738903394}
 '9' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.01, 'method': 'reranked_own_rec', 'precision': 0.19456919060052222}
 '10' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.011, 'method': 'reranked_own_rec', 'precision': 0.191644908616188}
 '11' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.012, 'method': 'reranked_own_rec', 'precision': 0.19007832898172325}
 '12' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.013000000000000001, 'method': 'reranked_own_rec', 'precision': 0.19091383812010446}
 '13' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.014, 'method': 'reranked_own_rec', 'precision': 0.18819843342036552}
 '14' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.015, 'method': 'reranked_own_rec', 'precision': 0.19091383812010446}
 '15' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.016, 'method': 'reranked_own_rec', 'precision': 0.1901827676240209}
 '16' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.017, 'method': 'reranked_own_rec', 'precision': 0.18684073107049612}
 '17' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.018000000000000002, 'method': 'reranked_own_rec', 'precision': 0.18861618798955612}
 '18' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.019, 'method': 'reranked_own_rec', 'precision': 0.18757180156657963}
 '19' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.02, 'method': 'reranked_own_rec', 'precision': 0.1883028720626632}
 '20' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.021, 'method': 'reranked_own_rec', 'precision': 0.18924281984334204}
 '21' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.022, 'method': 'reranked_own_rec', 'precision': 0.18934725848563969}
 '22' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.023, 'method': 'reranked_own_rec', 'precision': 0.18872062663185377}
 '23' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.024, 'method': 'reranked_own_rec', 'precision': 0.18757180156657965}
 '24' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.025, 'method': 'reranked_own_rec', 'precision': 0.18861618798955612}
 '25' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.026000000000000002, 'method': 'reranked_own_rec', 'precision': 0.1860052219321149}
 '26' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.027, 'method': 'reranked_own_rec', 'precision': 0.18882506527415144}
 '27' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.028, 'method': 'reranked_own_rec', 'precision': 0.18767624020887727}
 '28' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.029, 'method': 'reranked_own_rec', 'precision': 0.18757180156657965}
 '29' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.03, 'method': 'reranked_own_rec', 'precision': 0.18788511749347261}
 '30' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.031, 'method': 'reranked_own_rec', 'precision': 0.18840731070496086}
 '31' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.032, 'method': 'reranked_own_rec', 'precision': 0.18872062663185377}
 '32' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.033, 'method': 'reranked_own_rec', 'precision': 0.18694516971279374}
 '33' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.034, 'method': 'reranked_own_rec', 'precision': 0.18861618798955615}
 '34' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.035, 'method': 'reranked_own_rec', 'precision': 0.19415143603133156}
 '35' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.036000000000000004, 'method': 'reranked_own_rec', 'precision': 0.18892950391644908}
 '36' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.037, 'method': 'reranked_own_rec', 'precision': 0.18767624020887727}
 '37' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.038, 'method': 'reranked_own_rec', 'precision': 0.18955613577023497}
 '38' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.039, 'method': 'reranked_own_rec', 'precision': 0.1880939947780679}
 '39' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.04, 'method': 'reranked_own_rec', 'precision': 0.18861618798955615}
 '40' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.041, 'method': 'reranked_own_rec', 'precision': 0.19018276762402092}
 '41' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.042, 'method': 'reranked_own_rec', 'precision': 0.18903394255874673}
 '42' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.043000000000000003, 'method': 'reranked_own_rec', 'precision': 0.19258485639686684}
 '43' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.044, 'method': 'reranked_own_rec', 'precision': 0.19028720626631856}
 '44' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.045, 'method': 'reranked_own_rec', 'precision': 0.1864229765013055}
 '45' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.046, 'method': 'reranked_own_rec', 'precision': 0.19300261096605745}
 '46' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.047, 'method': 'reranked_own_rec', 'precision': 0.18861618798955615}
 '47' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.048, 'method': 'reranked_own_rec', 'precision': 0.18840731070496083}
 '48' = {dict: 5} {'max_depth': 5, 'num_leaves': 8, 'num_lrate': 0.049, 'method': 'reranked_own_rec', 'precision': 0.19300261096605745}
 '49' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.001, 'method': 'reranked_own_rec', 'precision': 0.19446475195822452}
 '50' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.002, 'method': 'reranked_own_rec', 'precision': 0.19488250652741515}
 '51' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.003, 'method': 'reranked_own_rec', 'precision': 0.19425587467362923}
 '52' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.004, 'method': 'reranked_own_rec', 'precision': 0.19456919060052222}
 '53' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.005, 'method': 'reranked_own_rec', 'precision': 0.1949869451697128}
 '54' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.006, 'method': 'reranked_own_rec', 'precision': 0.19425587467362923}
 '55' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.007, 'method': 'reranked_own_rec', 'precision': 0.19550913838120107}
 '56' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.008, 'method': 'reranked_own_rec', 'precision': 0.19436031331592693}
 '57' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.009000000000000001, 'method': 'reranked_own_rec', 'precision': 0.1939425587467363}
 '58' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.01, 'method': 'reranked_own_rec', 'precision': 0.19477806788511753}
 '59' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.011, 'method': 'reranked_own_rec', 'precision': 0.19122715404699742}
 '60' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.012, 'method': 'reranked_own_rec', 'precision': 0.18976501305483026}
 '61' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.013000000000000001, 'method': 'reranked_own_rec', 'precision': 0.19112271540469974}
 '62' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.014, 'method': 'reranked_own_rec', 'precision': 0.18767624020887727}
 '63' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.015, 'method': 'reranked_own_rec', 'precision': 0.19227154046997388}
 '64' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.016, 'method': 'reranked_own_rec', 'precision': 0.18819843342036555}
 '65' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.017, 'method': 'reranked_own_rec', 'precision': 0.18746736292428198}
 '66' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.018000000000000002, 'method': 'reranked_own_rec', 'precision': 0.18746736292428198}
 '67' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.019, 'method': 'reranked_own_rec', 'precision': 0.18715404699738905}
 '68' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.02, 'method': 'reranked_own_rec', 'precision': 0.18976501305483032}
 '69' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.021, 'method': 'reranked_own_rec', 'precision': 0.18882506527415144}
 '70' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.022, 'method': 'reranked_own_rec', 'precision': 0.18986945169712796}
 '71' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.023, 'method': 'reranked_own_rec', 'precision': 0.18882506527415144}
 '72' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.024, 'method': 'reranked_own_rec', 'precision': 0.18736292428198434}
 '73' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.025, 'method': 'reranked_own_rec', 'precision': 0.18861618798955612}
 '74' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.026000000000000002, 'method': 'reranked_own_rec', 'precision': 0.18631853785900784}
 '75' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.027, 'method': 'reranked_own_rec', 'precision': 0.18872062663185377}
 '76' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.028, 'method': 'reranked_own_rec', 'precision': 0.18746736292428198}
 '77' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.029, 'method': 'reranked_own_rec', 'precision': 0.1870496083550914}
 '78' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.03, 'method': 'reranked_own_rec', 'precision': 0.18746736292428198}
 '79' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.031, 'method': 'reranked_own_rec', 'precision': 0.18798955613577023}
 '80' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.032, 'method': 'reranked_own_rec', 'precision': 0.18861618798955615}
 '81' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.033, 'method': 'reranked_own_rec', 'precision': 0.18715404699738905}
 '82' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.034, 'method': 'reranked_own_rec', 'precision': 0.18882506527415144}
 '83' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.035, 'method': 'reranked_own_rec', 'precision': 0.19383812010443863}
 '84' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.036000000000000004, 'method': 'reranked_own_rec', 'precision': 0.1891383812010444}
 '85' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.037, 'method': 'reranked_own_rec', 'precision': 0.18861618798955615}
