'0' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.01, 'method': 'own_rec', 'precision': 0.14441176470588235}
'1' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.07357142857142857, 'method': 'reranked_own_rec', 'precision': 0.15268929503916448}
'2' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.13714285714285715, 'method': 'reranked_own_rec', 'precision': 0.1572845953002611}
'3' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.20071428571428573, 'method': 'reranked_own_rec', 'precision': 0.1648041775456919}
'4' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.2642857142857143, 'method': 'reranked_own_rec', 'precision': 0.16678851174934725}
'5' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.32785714285714285, 'method': 'reranked_own_rec', 'precision': 0.166266318537859}
'6' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.39142857142857146, 'method': 'reranked_own_rec', 'precision': 0.17190600522193214}
'7' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.455, 'method': 'reranked_own_rec', 'precision': 0.16657963446475196}
'8' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.5185714285714286, 'method': 'reranked_own_rec', 'precision': 0.17357702349869453}
'9' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.5821428571428572, 'method': 'reranked_own_rec', 'precision': 0.17315926892950392}
'10' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.6457142857142857, 'method': 'reranked_own_rec', 'precision': 0.17493472584856398}
'11' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.7092857142857143, 'method': 'reranked_own_rec', 'precision': 0.16783289817232375}
'12' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.7728571428571429, 'method': 'reranked_own_rec', 'precision': 0.17451697127937338}
'13' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.8364285714285714, 'method': 'reranked_own_rec', 'precision': 0.1777545691906005}
'14' = {dict: 4} {'n_estimators': 100, 'learning_rate': 0.9, 'method': 'reranked_own_rec', 'precision': 0.1772323759791123}
'15' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.01, 'method': 'own_rec', 'precision': 0.14441176470588235}
'16' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.07357142857142857, 'method': 'reranked_own_rec', 'precision': 0.16031331592689296}
'17' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.13714285714285715, 'method': 'reranked_own_rec', 'precision': 0.16543080939947782}
'18' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.20071428571428573, 'method': 'reranked_own_rec', 'precision': 0.17326370757180157}
'19' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.2642857142857143, 'method': 'reranked_own_rec', 'precision': 0.1735770234986945}
'20' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.32785714285714285, 'method': 'reranked_own_rec', 'precision': 0.17535248041775459}
'21' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.39142857142857146, 'method': 'reranked_own_rec', 'precision': 0.17806788511749347}
'22' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.455, 'method': 'reranked_own_rec', 'precision': 0.17900783289817235}
'23' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.5185714285714286, 'method': 'reranked_own_rec', 'precision': 0.18182767624020887}
'24' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.5821428571428572, 'method': 'reranked_own_rec', 'precision': 0.1796344647519582}
'25' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.6457142857142857, 'method': 'reranked_own_rec', 'precision': 0.1805744125326371}
'26' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.7092857142857143, 'method': 'reranked_own_rec', 'precision': 0.18026109660574416}
'27' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.7728571428571429, 'method': 'reranked_own_rec', 'precision': 0.18527415143603135}
'28' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.8364285714285714, 'method': 'reranked_own_rec', 'precision': 0.18757180156657965}
'29' = {dict: 4} {'n_estimators': 150, 'learning_rate': 0.9, 'method': 'reranked_own_rec', 'precision': 0.18224543080939948}
